first_name,last_name,party,vote
ศรีเรศ,โกฎคำลือ,เพื่อไทย,0
ศรีสมร,รัศมีฤกษ์เศรษฐ์,ประชาธิปัตย์,0
ศักดา,คงเพชร,เพื่อไทย,0
ศักดินัย,นุ่มหนู,อนาคตใหม่,1
ศักดิ์สยาม,ชิดชอบ,ภูมิใจไทย,0
ศาสตรา,ศรีปาน,พลังประชารัฐ,0
ศิรสิทธิ์,เลิศด้วยลาภ,เพื่อไทย,0
ศิริกัญญา,ตันสกุล,อนาคตใหม่,1
ศิริพงษ์,รัสมี,พลังประชารัฐ,0
ศิริวรรณ,ปราศจากศัตรู,ประชาธิปัตย์,0
ศิริวัฒน์,ขจรประศาสน์,ภูมิใจไทย,0
ศิลัมพา,เลิศนุวัฒน์,พลเมืองไทย,0
ศุภชัย,ใจสมุทร,ภูมิใจไทย,0
ศุภชัย,นพขำ,เพื่อไทย,0
นายศุภชัย,โพธิ์สุ,ภูมิใจไทย,-1
ศุภมาส,อิศรภักดี,เพื่อไทย,0
สกุณา,สาระนันท์,เพื่อไทย,0
สงคราม,กิจเลิศไพโรจน์,เพื่อชาติ,0
สงวน,พงษ์มณี,เพื่อไทย,0
สนอง,เทพอักษรณรงค์,ภูมิใจไทย,0
สมเกียรติ,ไชยวิสุทธิกุล,อนาคตใหม่,1
สมเกียรติ,ถนอมสินธุ์,อนาคตใหม่,1
สมเกียรติ,วอนเพียร,พลังประชารัฐ,0
สมเกียรติ,ศรลัมพ์,ประชาภิวัฒน์,0
สมคิด,เชื้อคง,เพื่อไทย,0
สมเจตน์,ลิมปะพันธุ์,ภูมิใจไทย,0
สมชาติ,ประดิษฐพร,ประชาธิปัตย์,0
สมชาย,ฝั่งชลจิตร,อนาคตใหม่,1
สมชาย,วิษณุวงศ์,พลังประชารัฐ,0
สมบัติ,ศรีสุรินทร์,เพื่อไทย,0
สมบัติ,อำนาคะ,พลังประชารัฐ,0
สมบูรณ์,ซารัมย์,ภูมิใจไทย,0
สมพงษ์,โสภณ,พลังประชารัฐ,0
สมพงษ์,อมรวิวัฒน์,เพื่อไทย,0
สมมุติ,เบ็ญจลักษณ์,ประชาชาติ,2
สมศักดิ์,เทพสุทิน,พลังประชารัฐ,0
สมศักดิ์,พันธ์เกษม,พลังประชารัฐ,0
สมหญิง,บัวบุตร,เพื่อไทย,0
สมัคร,ป้องวงษ์,อนาคตใหม่,1
สยาม,หัตถสงเคราะห์,เพื่อไทย,0
สรชัด,สุจิตต์,ชาติไทยพัฒนา,0
สรวุฒิ,เนื่องจำนงค์,พลังประชารัฐ,0
สรอรรถ,กลิ่นประทุม,ภูมิใจไทย,0
สรัสนันท์,อรรณนพพร,เพื่อไทย,0
สราวุธ,อ่อนละมัย,ประชาธิปัตย์,0
สฤษฏ์พงษ์,เกี่ยวข้อง,ภูมิใจไทย,0
สฤษดิ์,บุตรเนียร,ภูมิใจไทย,0
สะถิระ,เผือกประพันธุ์,พลังประชารัฐ,0
สัญญา,นิลสุพรรณ,พลังประชารัฐ,0
สัณหพจน์,สุขศรีเมือง,พลังประชารัฐ,0
สันติ,กีระนันทน์,พลังประชารัฐ,0
สันติ,พร้อมพัฒน์,พลังประชารัฐ,0
สัมพันธ์,มะยูโซ๊ะ,พลังประชารัฐ,0
สัมฤทธิ์,แทนทรัพย์,พลังประชารัฐ,0
สาคร,เกี่ยวข้อง,ประชาธิปัตย์,0
สาทิตย์,วงศ์หนองเตย,ประชาธิปัตย์,0
สาธิต,ปิตุเตชะ,ประชาธิปัตย์,-1
สาธิต,อุ๋ยตระกูล,พลังประชารัฐ,0
สายัณห์,ยุติธรรม,พลังประชารัฐ,0
สำลี,รักสุทธี,อนาคตใหม่,1
สิงหภณ,ดีนาง,เพื่อไทย,0
สินธพ,แก้วพิจิตร,ประชาธิปัตย์,0
สินิตย์,เลิศไกร,ประชาธิปัตย์,0
สิระ,เจนจาคะ,พลังประชารัฐ,0
สิรินทร,รามสูต,เพื่อไทย,0
สิริพงศ์,อังคสกุลเกียรติ,ภูมิใจไทย,-1
สุชาติ,ชมกลิ่น,พลังประชารัฐ,0
